date,stock,strategy,operation,price,size,capital,profit_gross,profit_net
2021-01-20,MSFT,SMAStrategy10,BUY,208.89179464606343,48,100604.28994674297,,
2021-01-20,GOOGL,SMAStrategy10,BUY,90.63369841737502,112,100604.28994674297,,
2021-01-21,AAPL,SMAStrategy10,BUY,130.2479286583061,78,100889.08499528181,,
2021-01-28,GOOGL,SMAStrategy10,SELL,90.86346464048778,-112,101253.34827183285,,
2021-01-28,GOOGL,SMAStrategy10,TRADE_CLOSE,,0,101253.34827183285,25.733816988629314,25.733816988629314
2021-01-29,GOOGL,SMAStrategy10,BUY,91.0133261797353,110,100506.45894540669,,
2021-02-01,AAPL,SMAStrategy10,SELL,130.19924214528973,-78,101090.60539823584,,
2021-02-01,GOOGL,SMAStrategy10,SELL,91.53786168051741,-110,101090.60539823584,,
2021-02-01,AAPL,SMAStrategy10,TRADE_CLOSE,,0,101090.60539823584,-3.7975480152774708,-3.7975480152774708
2021-02-01,GOOGL,SMAStrategy10,TRADE_CLOSE,,0,101090.60539823584,57.69890508603183,57.69890508603183
2021-02-02,GOOGL,SMAStrategy10,BUY,94.93916613642043,107,101115.96548223456,,
2021-02-03,TSLA,SMAStrategy10,BUY,292.3399963378906,34,101765.74314641913,,
2021-02-05,TSLA,SMAStrategy10,SELL,281.6666564941406,-34,101778.10529088935,,
2021-02-05,TSLA,SMAStrategy10,TRADE_CLOSE,,0,101778.10529088935,-362.8935546875,-362.8935546875
2021-02-09,AAPL,SMAStrategy10,BUY,133.19180084894626,76,101667.82239457012,,
2021-02-09,TSLA,SMAStrategy10,BUY,285.0400085449219,35,101667.82239457012,,
2021-02-11,TSLA,SMAStrategy10,SELL,270.8133239746094,-35,101274.820052346,,
2021-02-11,TSLA,SMAStrategy10,TRADE_CLOSE,,0,101274.820052346,-497.9339599609375,-497.9339599609375
2021-02-12,AAPL,SMAStrategy10,SELL,130.97873504321333,-76,101273.40404990755,,
2021-02-12,AAPL,SMAStrategy10,TRADE_CLOSE,,0,101273.40404990755,-168.19300123570224,-168.19300123570224
2021-02-22,GOOGL,SMAStrategy10,TRADE_CLOSE,,0,100729.9417921787,745.8791526491472,745.8791526491472
2021-02-22,MSFT,SMAStrategy10,TRADE_CLOSE,,0,100729.9417921787,933.4479813543021,933.4479813543021
2021-02-22,MSFT,SMAStrategy10,SELL,228.33862759094472,-48,100729.9417921787,,
2021-02-22,GOOGL,SMAStrategy10,SELL,101.9099993387489,-107,100729.9417921787,,
2021-03-02,MSFT,SMAStrategy30,BUY,227.94431703214215,44,100340.4708962239,,
2021-03-02,AAPL,SMAStrategy10,BUY,125.1877989106143,80,100340.4708962239,,
2021-03-03,MSFT,SMAStrategy30,TRADE_CLOSE,,0,100243.93029276602,-205.23885610037212,-205.23885610037212
2021-03-03,MSFT,SMAStrategy30,SELL,223.27979757531554,-44,100243.93029276602,,
2021-03-03,AAPL,SMAStrategy10,TRADE_CLOSE,,0,100243.93029276602,-280.77264331230253,-280.77264331230253
2021-03-03,AAPL,SMAStrategy10,SELL,121.67814086921052,-80,100243.93029276602,,
2021-03-08,GOOGL,SMAStrategy10,BUY,103.42158052102566,96,99879.19782056005,,
2021-03-09,GOOGL,SMAStrategy10,SELL,101.71893700927107,-96,100080.47651563757,,
2021-03-09,GOOGL,SMAStrategy10,TRADE_CLOSE,,0,100080.47651563757,-163.45377712844038,-163.45377712844038
2021-03-10,MSFT,SMAStrategy10,BUY,227.93469235603732,44,99291.20851908039,,
2021-03-10,GOOGL,SMAStrategy30,BUY,102.29708138284172,98,99291.20851908039,,
2021-03-10,TSLA,SMAStrategy10,BUY,233.43333435058594,44,99291.20851908039,,
2021-03-12,AAPL,SMAStrategy10,BUY,117.37878469780301,84,99873.50965256414,,
2021-03-12,GOOGL,SMAStrategy10,BUY,103.04194682941647,96,99873.50965256414,,
2021-03-12,MSFT,SMAStrategy30,BUY,225.05903321453633,43,99873.50965256414,,
2021-03-15,MSFT,SMAStrategy30,TRADE_CLOSE,,0,100038.27611449387,39.28904621199692,39.28904621199692
2021-03-15,MSFT,SMAStrategy30,SELL,225.97273196365254,-43,100038.27611449387,,
2021-03-15,AAPL,SMAStrategy10,TRADE_CLOSE,,0,100038.27611449387,82.71344831723997,82.71344831723997
2021-03-15,GOOGL,SMAStrategy10,TRADE_CLOSE,,0,100038.27611449387,-149.73276593704713,-149.73276593704713
2021-03-15,AAPL,SMAStrategy10,SELL,118.3634686063416,-84,100038.27611449387,,
2021-03-15,GOOGL,SMAStrategy10,SELL,101.48223051757223,-96,100038.27611449387,,
2021-03-16,GOOGL,SMAStrategy30,TRADE_CLOSE,,0,99838.27933426818,22.321010147435686,22.321010147435686
2021-03-16,GOOGL,SMAStrategy30,SELL,102.52484679250944,-98,99838.27933426818,,
2021-03-16,AAPL,SMAStrategy10,BUY,122.5457949733959,82,99838.27933426818,,
2021-03-16,GOOGL,SMAStrategy10,BUY,102.52484679250944,98,99838.27933426818,,
2021-03-17,GOOGL,SMAStrategy30,BUY,102.64792444093051,96,100205.00328731025,,
2021-03-17,MSFT,SMAStrategy30,BUY,227.11720307886736,43,100205.00328731025,,
2021-03-19,GOOGL,SMAStrategy30,TRADE_CLOSE,,0,97997.70011080182,-184.5570478767304,-184.5570478767304
2021-03-19,MSFT,SMAStrategy30,TRADE_CLOSE,,0,97997.70011080182,-212.15079403000155,-212.15079403000155
2021-03-19,GOOGL,SMAStrategy30,SELL,100.72545519221457,-96,97997.70011080182,,
2021-03-19,MSFT,SMAStrategy30,SELL,222.18346368282081,-43,97997.70011080182,,
2021-03-19,MSFT,SMAStrategy10,SELL,222.18346368282081,-44,97997.70011080182,,
2021-03-19,GOOGL,SMAStrategy10,SELL,100.72545519221457,-98,97997.70011080182,,
2021-03-19,TSLA,SMAStrategy10,TRADE_CLOSE,,0,97997.70011080182,-787.5997314453125,-787.5997314453125
2021-03-19,GOOGL,SMAStrategy10,TRADE_CLOSE,,0,97997.70011080182,-176.34037682889706,-176.34037682889706
2021-03-19,MSFT,SMAStrategy10,TRADE_CLOSE,,0,97997.70011080182,-253.0540616215261,-253.0540616215261
2021-03-19,AAPL,SMAStrategy10,TRADE_CLOSE,,0,97997.70011080182,-463.6651317729072,-463.6651317729072
2021-03-19,TSLA,SMAStrategy10,SELL,215.53334045410156,-44,97997.70011080182,,
2021-03-19,AAPL,SMAStrategy10,SELL,116.89134214689702,-82,97997.70011080182,,
2021-03-23,MSFT,SMAStrategy10,BUY,228.4059692318967,43,97939.03756469727,,
2021-03-23,AAPL,SMAStrategy10,BUY,120.23527288356823,81,97939.03756469727,,
2021-03-24,MSFT,SMAStrategy30,BUY,228.75216387790152,42,97561.3526571672,,
2021-03-25,MSFT,SMAStrategy30,TRADE_CLOSE,,0,97382.43174702255,-103.0023186360184,-103.0023186360184
2021-03-25,AAPL,SMAStrategy10,TRADE_CLOSE,,0,97382.43174702255,-299.2858696365355,-299.2858696365355
2021-03-25,AAPL,SMAStrategy10,SELL,116.54038560410484,-81,97382.43174702255,,
2021-03-25,MSFT,SMAStrategy30,SELL,226.2997277199011,-42,97382.43174702255,,
2021-03-26,MSFT,SMAStrategy10,TRADE_CLOSE,,0,97349.76074817714,-245.65117435212838,-245.65117435212838
2021-03-26,MSFT,SMAStrategy10,SELL,222.6931512237077,-43,97349.76074817714,,
2021-03-29,MSFT,SMAStrategy30,BUY,227.54035768263333,42,97240.69907197657,,
2021-03-29,MSFT,SMAStrategy10,BUY,227.54035768263333,42,97240.69907197657,,
2021-03-30,MSFT,GoldenCrossStrategy1030,BUY,224.59739127966427,42,96868.27863979351,,
2021-03-30,GOOGL,SMAStrategy10,BUY,101.87922713070154,95,96868.27863979351,,
2021-03-31,MSFT,SMAStrategy10,TRADE_CLOSE,,0,97072.39801791591,-148.64736660050596,-148.64736660050596
2021-03-31,MSFT,GoldenCrossStrategy1030,TRADE_CLOSE,,0,97072.39801791591,-25.042777675805326,-25.042777675805326
2021-03-31,MSFT,GoldenCrossStrategy1030,SELL,224.00113466833557,-42,97072.39801791591,,
2021-03-31,MSFT,SMAStrategy10,SELL,224.00113466833557,-42,97072.39801791591,,
2021-03-31,MSFT,SMAStrategy30,SELL,224.00113466833557,-42,97072.39801791591,,
2021-03-31,MSFT,SMAStrategy30,TRADE_CLOSE,,0,97072.39801791591,-148.64736660050596,-148.64736660050596
2021-04-01,TSLA,SMAStrategy10,BUY,229.4566650390625,43,97601.06383378038,,
2021-04-01,AAPL,SMAStrategy10,BUY,120.55699346889742,81,97601.06383378038,,
2021-04-01,MSFT,SMAStrategy10,BUY,229.3484840732753,42,97601.06383378038,,
2021-04-01,MSFT,SMAStrategy30,BUY,229.3484840732753,42,97601.06383378038,,
2021-04-01,GOOGL,SMAStrategy30,BUY,103.8280063010387,94,97601.06383378038,,
2021-04-01,MSFT,GoldenCrossStrategy1030,BUY,229.3484840732753,42,97601.06383378038,,
2021-04-05,AAPL,SMAStrategy30,BUY,120.7617388309021,81,100061.10081196364,,
2021-04-06,TSLA,SMAStrategy30,BUY,230.10000610351562,43,99899.54415607985,,
2021-04-23,AAPL,SMAStrategy10,SELL,128.843676057911,-81,104128.81054654087,,
