date,total_value,diary_variation,cash
2021-01-19,100000.0,0.0,100000.0
2021-01-20,100604.28994674297,604.289946742967,79822.21963424297
2021-01-21,100889.08499528181,889.0849952818098,69662.88119889509
2021-01-22,101148.00738908064,1148.007389080638,69662.88119889509
2021-01-25,101614.7849159361,1614.7849159361067,69662.88119889509
2021-01-26,101837.94806290876,1837.948062908763,69662.88119889509
2021-01-27,101285.9576454283,1285.9576454282942,69662.88119889509
2021-01-28,101253.34827183285,1253.348271832845,79839.58923862972
2021-01-29,100506.45894540669,506.45894540668814,69828.12335885884
2021-02-01,101090.60539823584,1090.6053982358426,90052.82903104834
2021-02-02,101115.96548223456,1115.965482234562,79894.33825445136
2021-02-03,101765.74314641913,1765.7431464191322,69954.77837896308
2021-02-04,101639.00195074042,1639.0019507404213,69954.77837896308
2021-02-05,101778.10529088935,1778.105290889347,79531.44469976386
2021-02-08,101767.65704107245,1767.6570410724526,79531.44469976386
2021-02-09,101667.82239457012,1667.8223945701175,59432.46753617168
2021-02-10,101116.21548386455,1116.215483864551,59432.46753617168
2021-02-11,101274.820052346,1274.8200523459964,68910.93387528301
2021-02-12,101273.40404990755,1273.404049907549,78865.31773856722
2021-02-16,101297.1959734305,1297.1959734304983,78865.31773856722
2021-02-17,101388.18318656526,1388.183186565264,78865.31773856722
2021-02-18,101301.23634055696,1301.2363405569631,78865.31773856722
2021-02-19,101080.7845583304,1080.7845583304006,78865.31773856722
2021-02-22,100729.9417921787,729.9417921786953,100729.9417921787
2021-02-23,100729.9417921787,729.9417921786953,100729.9417921787
2021-02-24,100729.9417921787,729.9417921786953,100729.9417921787
2021-02-25,100729.9417921787,729.9417921786953,100729.9417921787
2021-02-26,100729.9417921787,729.9417921786953,100729.9417921787
2021-03-01,100729.9417921787,729.9417921786953,100729.9417921787
2021-03-02,100340.4708962239,340.47089622389467,80685.3679299153
2021-03-03,100243.93029276602,243.93029276601737,100243.93029276602
2021-03-04,100243.93029276602,243.93029276601737,100243.93029276602
2021-03-05,100243.93029276602,243.93029276601737,100243.93029276602
2021-03-08,99879.19782056005,-120.80217943995376,90315.45856274755
2021-03-09,100080.47651563757,80.47651563756517,100080.47651563757
2021-03-10,99291.20851908039,-708.7914809196081,69755.16936502766
2021-03-11,100266.05709085774,266.0570908577356,69755.16936502766
2021-03-12,99873.50965256414,-126.49034743585798,40325.786126563165
2021-03-15,100038.27611449387,38.27611449387041,69727.43909361985
2021-03-16,99838.27933426818,-161.72066573181655,59678.68390580139
2021-03-17,100205.00328731025,205.00328731024638,40058.44342708076
2021-03-18,98038.39855098212,-1961.6014490178786,40058.44342708076
2021-03-19,97997.70011080182,-2002.2998891981842,97997.70011080182
2021-03-22,97997.70011080182,-2002.2998891981842,97997.70011080182
2021-03-23,97939.03756469727,-2060.962435302732,78437.18633026123
2021-03-24,97561.3526571672,-2438.6473428328027,68829.59544738937
2021-03-25,97382.43174702255,-2617.5682529774494,87773.9552455577
2021-03-26,97349.76074817714,-2650.239251822859,97349.76074817714
2021-03-29,97240.69907197657,-2759.3009280234255,78236.37070283595
2021-03-30,96868.27863979351,-3131.7213602064876,59124.7536916734
2021-03-31,97072.39801791591,-2927.6019820840884,87348.89665988369
