date,stock,strategy,operation,price,size,capital,profit_gross,profit_net
2021-01-20,MSFT,SMAStrategySMA_period10,BUY,208.89179464606343,48,100604.28992233625,,
2021-01-20,GOOGL,SMAStrategySMA_period10,BUY,90.63369100589752,112,100604.28992233625,,
2021-01-21,AAPL,SMAStrategySMA_period10,BUY,130.24789882523683,78,100889.08503955371,,
2021-01-28,GOOGL,SMAStrategySMA_period10,SELL,90.86346464048778,-112,101253.34904852662,,
2021-01-28,GOOGL,SMAStrategySMA_period10,TRADE_CLOSE,,0,101253.34904852662,25.734647074109034,25.734647074109034
2021-01-29,GOOGL,SMAStrategySMA_period10,BUY,91.0133261797353,110,100506.45706707117,,
2021-02-01,AAPL,SMAStrategySMA_period10,SELL,130.19922693086417,-78,101090.60965116056,,
2021-02-01,GOOGL,SMAStrategySMA_period10,SELL,91.537869114529,-110,101090.60965116056,,
2021-02-01,AAPL,SMAStrategySMA_period10,TRADE_CLOSE,,0,101090.60965116056,-3.796407761067485,-3.796407761067485
2021-02-01,GOOGL,SMAStrategySMA_period10,TRADE_CLOSE,,0,101090.60965116056,57.699722827307056,57.699722827307056
2021-02-02,GOOGL,SMAStrategySMA_period10,BUY,94.93916613642043,107,101115.9660730499,,
2021-02-03,TSLA,SMAStrategySMA_period10,BUY,292.3399963378906,34,101765.74446965635,,
2021-02-05,TSLA,SMAStrategySMA_period10,SELL,281.6666564941406,-34,101778.1101923126,,
2021-02-05,TSLA,SMAStrategySMA_period10,TRADE_CLOSE,,0,101778.1101923126,-362.8935546875,-362.8935546875
2021-02-09,AAPL,SMAStrategySMA_period10,BUY,133.19178552172198,76,101667.82583635069,,
2021-02-09,TSLA,SMAStrategySMA_period10,BUY,285.0400085449219,35,101667.82583635069,,
2021-02-11,TSLA,SMAStrategySMA_period10,SELL,270.8133239746094,-35,101274.82516496397,,
2021-02-11,TSLA,SMAStrategySMA_period10,TRADE_CLOSE,,0,101274.82516496397,-497.9339599609375,-497.9339599609375
2021-02-12,AAPL,SMAStrategySMA_period10,SELL,130.9787501870301,-76,101273.40842136576,,
2021-02-12,AAPL,SMAStrategySMA_period10,TRADE_CLOSE,,0,101273.40842136576,-168.19068543658295,-168.19068543658295
2021-02-22,GOOGL,SMAStrategySMA_period10,TRADE_CLOSE,,0,100729.94533846542,745.8783365661866,745.8783365661866
2021-02-22,MSFT,SMAStrategySMA_period10,TRADE_CLOSE,,0,100729.94533846542,933.4472398439011,933.4472398439011
2021-02-22,MSFT,SMAStrategySMA_period10,SELL,228.33861214281137,-48,100729.94533846542,,
2021-02-22,GOOGL,SMAStrategySMA_period10,SELL,101.90999171180533,-107,100729.94533846542,,
2021-03-02,MSFT,SMAStrategySMA_period30,BUY,227.94430156848463,44,100340.47446757388,,
2021-03-02,AAPL,SMAStrategySMA_period10,BUY,125.18779108060667,80,100340.47446757388,,
2021-03-03,MSFT,SMAStrategySMA_period30,TRADE_CLOSE,,0,100243.93520671001,-205.23749074099203,-205.23749074099203
2021-03-03,MSFT,SMAStrategySMA_period30,SELL,223.27981314255297,-44,100243.93520671001,,
