date,total_value,diary_variation,cash
2021-01-19,100000.0,0.0,100000.0
2021-01-20,100604.28992233625,604.2899223362474,79822.22046432843
2021-01-21,100889.08503955371,889.0850395537127,69662.88435595996
2021-01-22,101148.01378100879,1148.0137810087908,69662.88435595996
2021-01-25,101614.78669970996,1614.7866997099627,69662.88435595996
2021-01-26,101837.95109790332,1837.951097903322,69662.88435595996
2021-01-27,101285.96318286426,1285.9631828642596,69662.88435595996
2021-01-28,101253.34904852662,1253.349048526623,79839.59239569459
2021-01-29,100506.45706707117,506.45706707116915,69828.12651592371
2021-02-01,101090.60965116056,1090.6096511605574,90052.83181912931
2021-02-02,101115.9660730499,1115.9660730499018,79894.34104253232
2021-02-03,101765.74446965635,1765.744469656347,69954.78116704404
2021-02-04,101639.00310613096,1639.0031061309564,69954.78116704404
2021-02-05,101778.1101923126,1778.110192312597,79531.44748784482
2021-02-08,101767.65909673154,1767.6590967315424,79531.44748784482
2021-02-09,101667.82583635069,1667.8258363506902,59432.471489121686
2021-02-10,101116.22025315977,1116.2202531597723,59432.471489121686
2021-02-11,101274.82516496397,1274.8251649639715,68910.93782823301
2021-02-12,101273.40842136576,1273.4084213657625,78865.3228424473
2021-02-16,101297.19888004496,1297.1988800449617,78865.3228424473
2021-02-17,101388.18665775492,1388.1866577549226,78865.3228424473
2021-02-18,101301.24062809184,1301.2406280918367,78865.3228424473
2021-02-19,101080.78884586527,1080.7888458652742,78865.3228424473
2021-02-22,100729.94533846542,729.9453384654189,100729.94533846542
2021-02-23,100729.94533846542,729.9453384654189,100729.94533846542
2021-02-24,100729.94533846542,729.9453384654189,100729.94533846542
2021-02-25,100729.94533846542,729.9453384654189,100729.94533846542
2021-02-26,100729.94533846542,729.9453384654189,100729.94533846542
2021-03-01,100729.94533846542,729.9453384654189,100729.94533846542
2021-03-02,100340.47446757388,340.4744675738766,80685.37278300356
2021-03-03,100243.93520671001,243.9352067100117,100243.93520671001
2021-03-04,100243.93520671001,243.9352067100117,100243.93520671001
2021-03-05,100243.93520671001,243.9352067100117,100243.93520671001
2021-03-08,99879.20273450404,-120.79726549595944,90315.46347669154
2021-03-09,100080.48216537418,80.48216537418193,100080.48216537418
2021-03-10,99291.21417410084,-708.7858258991619,69755.17584402271
2021-03-11,100266.06349355885,266.06349355884595,69755.17584402271
2021-03-12,99873.51816691927,-126.48183308073203,40325.78937663607
2021-03-15,100038.27810949902,38.2781094990205,69727.441088625
2021-03-16,99838.28065723894,-161.71934276106185,59678.68527454851
2021-03-17,100205.0053603347,205.00536033470416,40058.444721906984
2021-03-18,98038.40124961693,-1961.5987503830693,40058.444721906984
2021-03-19,97997.69678635932,-2002.3032136406837,97997.69678635932
2021-03-22,97997.69678635932,-2002.3032136406837,97997.69678635932
2021-03-23,97939.03422805406,-2060.9657719459356,78437.18179580309
2021-03-24,97561.34945359676,-2438.650546403238,68829.58897080868
2021-03-25,97382.42274007993,-2617.577259920072,87773.94689474301
2021-03-26,97349.75239736245,-2650.2476026375516,97349.75239736245
2021-03-29,97240.69071380627,-2759.309286193733,78236.36106292736
2021-03-30,96868.27155176834,-3131.728448231661,59124.7420336409
2021-03-31,97072.38708467588,-2927.61291532412,87348.88500185117
2021-04-01,97601.05282083545,-2398.9471791645483,29059.395319614745
2021-04-05,100061.09623355795,61.09623355795338,19277.695690345063
2021-04-06,99899.53648776938,-100.46351223062084,9383.39542789389
2021-04-07,100100.90957279135,100.90957279135182,9383.39542789389
2021-04-08,101370.10277957846,1370.1027795784612,9383.39542789389
2021-04-09,102097.59244937827,2097.592449378266,9383.39542789389
2021-04-12,102298.08588809897,2298.085888098969,9383.39542789389
2021-04-13,104936.29973239829,4936.299732398285,9383.39542789389
2021-04-14,103225.83004398276,3225.830043982758,9383.39542789389
2021-04-15,104686.00455112387,4686.004551123871,9383.39542789389
2021-04-16,104785.78680057455,4785.786800574555,9383.39542789389
2021-04-19,103995.59998722006,3995.5999872200628,9383.39542789389
2021-04-20,103688.3627740853,3688.362774085297,9383.39542789389
2021-04-21,104745.29807681967,4745.298076819672,9383.39542789389
2021-04-22,103143.10911960532,3143.1091196053167,9383.39542789389
2021-04-23,104128.8186583939,4128.818658393895,51241.04319147495
2021-04-26,104377.1195441693,4377.119544169298,20132.10771860777
2021-04-27,103537.47984995543,3537.479849955431,10080.667410990583
2021-04-28,102880.32618632018,2880.326186320177,19830.40767588316
2021-04-29,103025.04872453117,3025.048724531167,40414.236560224526
